ImageId,Label
1,1.2128304
2,0.17168237
3,9.006512
4,5.404927
5,3.5103483
6,7.351287
7,-0.21201037
8,2.9629397
9,0.19186585
10,2.4466636
11,4.5312443
12,6.282728
13,4.8276367
14,0.03417657
15,4.508657
16,3.3015766
17,4.102377
18,0.8405021
19,8.631135
20,-0.25801805
21,9.150487
22,0.8453973
23,0.9959625
24,5.0277023
25,6.8948193
26,4.1707673
27,1.8863724
28,6.8032303
29,5.3686337
30,7.0733485
31,6.968502
32,5.900833
33,4.044023
34,1.9387317
35,6.0824356
36,3.472047
37,4.6888084
38,6.2255287
39,2.2360146
40,6.717402
41,6.6774664
42,7.266803
43,3.995928
44,9.563071
45,7.2817616
46,6.9256587
47,8.12941
48,4.748128
49,4.9551926
50,5.6777244
51,6.1797776
52,7.636805
53,7.474277
54,2.8632653
55,7.3147464
56,2.2116847
57,1.4778416
58,2.237879
59,3.24431
60,4.233842
61,4.4967465
62,1.1662362
63,6.6672273
64,-0.18167077
65,0.23954962
66,0.054395646
67,1.3062953
68,8.55724
69,-0.031941365
70,1.7825481
71,6.23441
72,4.642288
73,7.4552093
74,7.7435255
75,3.514918
76,8.393972
77,4.577124
78,8.895398
79,1.422963
80,3.644284
81,4.1203628
82,4.899102
83,0.75788033
84,0.9633273
85,8.308777
86,1.9993497
87,3.8147237
88,2.6629813
89,5.188053
90,7.2327805
91,4.1393294
92,0.034850612
93,5.913003
94,6.0428276
95,3.112029
96,4.6733723
97,4.273769
98,8.116592
99,7.244176
100,4.9619646
101,0.88470066
102,5.716571
103,1.8427205
104,-0.44709283
105,6.708808
106,3.6820014
107,-0.2763607
108,5.340601
109,0.18203223
110,4.305816
111,0.91065234
112,0.115865745
113,2.6836205
114,4.838315
115,0.97638327
116,7.3227954
117,1.4446555
118,0.9643011
119,3.916795
120,3.7685199
121,3.344042
122,6.763714
123,2.4818118
124,7.3004007
125,6.6165633
126,2.949912
127,8.810205
128,7.9819574
129,6.865753
130,4.1320143
131,3.5999262
132,5.2178206
133,5.110381
134,-0.21390975
135,-0.29923832
136,-0.44309625
137,2.8753352
138,0.81717527
139,6.0729766
140,3.4135716
141,4.626122
142,3.9239695
143,3.4981372
144,4.4436927
145,5.4110503
146,7.3130293
147,7.7924705
148,5.853087
149,1.5920494
150,5.4737854
151,4.6939845
152,2.613336
153,5.86233
154,6.984547
155,4.0335464
156,3.577809
157,7.023543
158,4.848299
159,6.841541
160,8.313216
161,2.909599
162,1.2253215
163,4.3224626
164,4.460681
165,1.5818897
166,3.625605
167,7.725508
168,5.149676
169,1.4519688
170,0.7502638
171,2.7581034
172,7.427948
173,7.787118
174,6.0486836
175,0.93561494
176,4.062155
177,6.453566
178,5.1881194
179,1.0434817
180,2.1637816
181,3.8274696
182,5.210304
183,8.20207
184,2.626451
185,4.011506
186,8.901993
187,2.1135948
188,0.90464175
189,5.4833794
190,0.09447991
191,6.2259283
192,1.1886512
193,4.1398907
194,8.956337
195,5.6821756
196,0.113222964
197,8.925404
198,6.699863
199,2.749494
200,9.407063
201,0.7483785
202,8.077007
203,-0.26332408
204,8.34142
205,9.376052
206,0.08531827
207,8.250935
208,4.060204
209,5.186938
210,2.2411308
211,2.0988705
212,9.035704
213,2.2744114
214,6.03826
215,6.2672877
216,1.6186868
217,0.5957414
218,6.1710157
219,2.7893915
220,3.3742325
221,1.8081069
222,2.7836733
223,0.8741035
224,3.1044583
225,1.666936
226,3.0651047
227,3.322882
228,6.1695676
229,0.7770295
230,-0.05156571
231,0.27796426
232,4.060057
233,9.074663
234,1.7036116
235,6.8970184
236,3.2663424
237,2.314666
238,3.605665
239,8.829275
240,6.0246086
241,8.305481
242,6.164786
243,2.1735768
244,8.595391
245,5.557679
246,4.830079
247,7.163614
248,5.918074
249,3.790381
250,5.188097
251,9.894798
252,7.7858696
253,1.1473984
254,5.2860327
255,8.25441
256,4.5574174
257,6.1727853
258,1.7599669
259,3.6562316
260,4.653004
261,5.8765616
262,2.3378682
263,3.2162359
264,4.0332837
265,6.194962
266,0.1734641
267,5.8159523
268,8.248896
269,4.477428
270,1.6799341
271,4.8994594
272,0.65207565
273,5.78921
274,3.5261698
275,7.223545
276,5.6176276
277,1.0246562
278,6.0857553
279,9.023155
280,4.273636
281,-0.15994897
282,8.337706
283,0.9105905
284,1.644543
285,5.9716353
286,2.881609
287,7.368714
288,4.583998
289,10.059263
290,8.958601
291,5.4266753
292,7.4143085
293,7.226579
294,9.7609
295,8.513771
296,6.033674
297,2.6238687
298,1.9766371
299,3.5094783
300,2.3972027
301,5.8881664
302,8.79961
303,7.4937997
304,3.2123437
305,5.5780907
306,3.250387
307,6.887685
308,0.94449025
309,4.4334936
310,4.1837106
311,7.2270412
312,5.0040965
313,7.4024286
314,1.5803813
315,-0.48770234
316,3.6740499
317,6.1621375
318,6.261176
319,1.850289
320,7.1285706
321,4.9477
322,2.0023582
323,1.7193683
324,9.251874
325,8.4790745
326,3.705936
327,6.397226
328,0.9259965
329,6.6001463
330,6.298586
331,5.450489
332,3.3970263
333,0.92456704
334,4.258679
335,0.047692016
336,8.875895
337,-0.24450475
338,0.24110995
339,6.1876335
340,3.0375977
341,5.794837
342,2.635252
343,0.9417829
344,7.457483
345,7.2465553
346,-0.10320932
347,5.780757
348,7.6365323
349,4.6880574
350,3.6647592
351,6.34889
352,7.815514
353,6.7319193
354,0.7626256
355,5.5947995
356,8.392228
357,6.2763596
358,9.102416
359,3.0289047
360,6.0327783
361,6.392399
362,6.2544174
363,3.922805
364,7.039122
365,5.817607
366,1.7024566
367,3.229328
368,6.884374
369,0.6932976
370,5.957587
371,5.1156235
372,7.6192803
373,7.5668964
374,8.592082
375,6.974415
376,6.03369
377,9.031538
378,5.080678
379,2.829646
380,7.3384786
381,6.0140996
382,4.7383075
383,5.7023406
384,3.85521
385,2.2068698
386,5.823135
387,0.9082319
388,0.97001094
389,3.0342634
390,8.098099
391,1.4052541
392,6.9989758
393,7.8625665
394,8.899993
395,6.0035224
396,1.9021975
397,1.2647921
398,1.1657625
399,6.9159875
400,3.267238
401,8.919804
402,6.7663317
403,6.775605
404,2.8398094
405,1.1387241
406,1.561514
407,6.237327
408,3.0072844
409,4.9259844
410,4.1546474
411,5.006398
412,1.604978
413,4.044992
414,0.89537716
415,1.1478531
416,4.41271
417,0.91056824
418,0.767571
419,4.3431334
420,4.9742327
421,8.948659
422,5.6410446
423,6.245651
424,6.655284
425,2.4080198
426,0.7612492
427,4.11369
